Sample,L_mm,W_mm,inset_mm,feedWidth_mm,viaDia_mm,f_predicted_GHz
1,28.23,40.92,9.68,3.059,1.2,2.493
2,32.37,36.8,10.89,3.059,1.2,2.194
3,33.14,43.79,11.28,3.059,1.2,2.135
4,32.68,37.65,11.0,3.059,1.2,2.173
5,29.8,32.91,10.0,3.059,1.2,2.383
6,28.9,41.59,9.9,3.059,1.2,2.437
7,28.54,39.86,9.75,3.059,1.2,2.469
8,27.21,39.68,9.33,3.059,1.2,2.584
9,24.68,43.75,8.6,3.059,1.2,2.826
10,25.16,36.39,8.62,3.059,1.2,2.79
11,25.73,43.18,8.93,3.059,1.2,2.717
12,30.67,38.05,10.39,3.059,1.2,2.308
13,31.28,34.8,10.51,3.059,1.2,2.271
14,33.59,41.54,11.37,3.059,1.2,2.111
15,26.46,35.03,9.0,3.059,1.2,2.663
16,31.57,33.13,10.56,3.059,1.2,2.255
17,28.08,34.28,9.49,3.059,1.2,2.519
18,24.15,32.14,8.22,3.059,1.2,2.911
19,33.41,37.34,11.22,3.059,1.2,2.128
20,26.99,30.59,9.08,3.059,1.2,2.624
21,29.16,40.3,9.96,3.059,1.2,2.418
22,30.19,31.64,10.1,3.059,1.2,2.356
23,25.99,42.53,9.0,3.059,1.2,2.693
24,31.11,38.76,10.54,3.059,1.2,2.276
25,33.81,33.94,11.27,3.059,1.2,2.11
26,29.5,46.0,10.17,3.059,1.2,2.383
27,27.67,35.93,9.4,3.059,1.2,2.55
28,27.42,38.99,9.38,3.059,1.2,2.567
29,30.54,44.86,10.48,3.059,1.2,2.307
30,32.02,45.5,10.96,3.059,1.2,2.205
31,24.93,35.57,8.53,3.059,1.2,2.816
32,25.51,42.1,8.84,3.059,1.2,2.742
33,29.93,32.42,10.03,3.059,1.2,2.374
34,26.62,30.31,8.96,3.059,1.2,2.66
35,32.32,31.14,10.75,3.059,1.2,2.209
36,24.5,44.49,8.56,3.059,1.2,2.845
