freq_GHz,target_s11_dB,pred_s11_dB
1.500000000000000000e+00,-1.000000000000000000e+00,-1.082298040390014648e+00
1.504008016032064132e+00,-1.000000000000000000e+00,-1.088165998458862305e+00
1.508016032064128265e+00,-1.000000000000000000e+00,-1.093577027320861816e+00
1.512024048096192397e+00,-1.000000000000000000e+00,-1.098558187484741211e+00
1.516032064128256529e+00,-1.000000000000000000e+00,-1.103128671646118164e+00
1.520040080160320661e+00,-1.000000000000000000e+00,-1.107289791107177734e+00
1.524048096192384794e+00,-1.000000000000000000e+00,-1.111079096794128418e+00
1.528056112224448926e+00,-1.000000000000000000e+00,-1.114504098892211914e+00
1.532064128256513058e+00,-1.000000000000000000e+00,-1.117593050003051758e+00
1.536072144288577190e+00,-1.000000000000000000e+00,-1.120360255241394043e+00
1.540080160320641323e+00,-1.000000000000000000e+00,-1.122835636138916016e+00
1.544088176352705455e+00,-1.000000000000000000e+00,-1.125031113624572754e+00
1.548096192384769365e+00,-1.000000000000000000e+00,-1.126968383789062500e+00
1.552104208416833719e+00,-1.000000000000000000e+00,-1.128680825233459473e+00
1.556112224448897852e+00,-1.000000000000000000e+00,-1.130173325538635254e+00
1.560120240480961984e+00,-1.000000000000000000e+00,-1.131473541259765625e+00
1.564128256513025894e+00,-1.000000000000000000e+00,-1.132608771324157715e+00
1.568136272545090248e+00,-1.000000000000000000e+00,-1.133596301078796387e+00
1.572144288577154381e+00,-1.000000000000000000e+00,-1.134454011917114258e+00
1.576152304609218291e+00,-1.000000000000000000e+00,-1.135205149650573730e+00
1.580160320641282645e+00,-1.000000000000000000e+00,-1.135871171951293945e+00
1.584168336673346777e+00,-1.000000000000000000e+00,-1.136460185050964355e+00
1.588176352705410688e+00,-1.000000000000000000e+00,-1.137001276016235352e+00
1.592184368737474820e+00,-1.000000000000000000e+00,-1.137513399124145508e+00
1.596192384769539174e+00,-1.000000000000000000e+00,-1.138002038002014160e+00
1.600200400801603307e+00,-1.000000000000000000e+00,-1.138491511344909668e+00
1.604208416833667217e+00,-1.000000000000000000e+00,-1.138998985290527344e+00
1.608216432865731571e+00,-1.000000000000000000e+00,-1.139531373977661133e+00
1.612224448897795703e+00,-1.000000000000000000e+00,-1.140104055404663086e+00
1.616232464929859614e+00,-1.000000000000000000e+00,-1.140731692314147949e+00
1.620240480961923746e+00,-1.000000000000000000e+00,-1.141423583030700684e+00
1.624248496993988100e+00,-1.000000000000000000e+00,-1.142193555831909180e+00
1.628256513026052010e+00,-1.000000000000000000e+00,-1.143045067787170410e+00
1.632264529058116143e+00,-1.000000000000000000e+00,-1.143983364105224609e+00
1.636272545090180497e+00,-1.000000000000000000e+00,-1.145031809806823730e+00
1.640280561122244407e+00,-1.000000000000000000e+00,-1.146178960800170898e+00
1.644288577154308539e+00,-1.000000000000000000e+00,-1.147436738014221191e+00
1.648296593186372672e+00,-1.000000000000000000e+00,-1.148812294006347656e+00
1.652304609218437026e+00,-1.000000000000000000e+00,-1.150302290916442871e+00
1.656312625250500936e+00,-1.000000000000000000e+00,-1.151906490325927734e+00
1.660320641282565068e+00,-1.000000000000000000e+00,-1.153634548187255859e+00
1.664328657314629423e+00,-1.000000000000000000e+00,-1.155479431152343750e+00
1.668336673346693555e+00,-1.000000000000000000e+00,-1.157442331314086914e+00
1.672344689378757465e+00,-1.000000000000000000e+00,-1.159525394439697266e+00
1.676352705410821597e+00,-1.000000000000000000e+00,-1.161710619926452637e+00
1.680360721442885952e+00,-1.000000000000000000e+00,-1.164005875587463379e+00
1.684368737474949862e+00,-1.000000000000000000e+00,-1.166409730911254883e+00
1.688376753507013994e+00,-1.000000000000000000e+00,-1.168903946876525879e+00
1.692384769539078126e+00,-1.000000000000000000e+00,-1.171489834785461426e+00
1.696392785571142259e+00,-1.000000000000000000e+00,-1.174154520034790039e+00
1.700400801603206391e+00,-1.000000000000000000e+00,-1.176900744438171387e+00
1.704408817635270523e+00,-1.000000000000000000e+00,-1.179711341857910156e+00
1.708416833667334656e+00,-1.000000000000000000e+00,-1.182570815086364746e+00
1.712424849699398788e+00,-1.000000000000000000e+00,-1.185476899147033691e+00
